"@SiteCode","@SiteName","@SiteType","@Latitude","@Longitude","@LatitudeWGS84","@LongitudeWGS84","@SiteLink","@DataOwner","@DataManager","_tag","@SpeciesCode","@SpeciesDescription","@Year","@ObjectiveName","@Value","@Achieved"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2023","Capture Rate (%)","87","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2024","Capture Rate (%)","68","YES"
"","","","","","","","","","","Objective","NO2","Nitrogen Dioxide","2025","Capture Rate (%)","57","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","1993","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","1994","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2000","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2001","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2002","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2003","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2004","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2005","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2006","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2007","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2008","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2009","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2010","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2011","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2012","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2013","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2014","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2015","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2016","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2017","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2018","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2019","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2020","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2021","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2022","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2023","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2024","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","2025","125 ug/m3 as a 24 hour mean, not to be exceeded more than 3 times a year","0","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","1993","266 ug/m3 as a 15 minute mean, not to be exceeded more than 35 times a year","20","YES"
"","","","","","","","","","","Objective","SO2","Sulphur Dioxide","1994","266 ug/m3 as a 15 minute mean, not to be exceeded more than 35 times a year","14","YES"
